id,callnumber,mainentry,isbn,title,author,placeofpublication,publisher,year,edition,physicaldesc,series,notesarea,subject,addedentry,price,copies,date,note,source
1060,,,,????? ?????? ???? ??? ????? ?? ??????? Penjelasan pernyataan mengenai apa yang dibenarkan dan dilarang daripada haiwan,???? ?? ???? ?? ????? ??????? Jaed bin Khamis bin Mubarak Al Kharusi,????,????? ????,2017,e2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1061,,,,??????? ???????? ??????? alkhawarij walhaqiqat alghayiba,???? ?? ?????? ?? ???? ??????? Nasser bin Suleiman bin Saeed Al-Saba'i,????,???? ?????? ????? ?????? ????,2011,e5,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1062,,,,???????? ??????? ?? ?????? ???????? Kewajipan pemegang saham dalam syarikat saham bersama,???? ???? ???? ?????? bushra khalid turki almawla,????,??? ??????,2010,e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1063,,,,????? ???????? ?????? ???????? abasharati al-amilina wanadharati alghafilin,??? ???? ?? ???? ??? ?? ????? ??????? Wan Ahmad bin Muhammad Zain bin Mustafa Al-fatani,,????? ????????,2002,e2 (2),,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1064,,,,??? ????? ??? ??? ??? ???? Kanzi Al-minani a'la Hikami Abi Madyan,????? ???? ?? ??? ???? ??????? Syeikh Daud bin Abdullah Al-Fatani,,????? ????????,2002,e2 (1),,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1065,,,0-933511-14-0,Ahadith for Children,Abdul Rauf,,Library of Islam,1995,e10,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1066,,,,Cuaca dan Iklim,Barbara Taylor,Johor Bahru,Penerbitan Pelangi Sdn. Bhd.,1994,e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1067,,,,?? ????? ??????? ?????????? ?? ????? ?????? ???????? min qasamat altajribat albiritaniat fi alamal alkhayri waltatwuei,??? ???? ??????? Bader Nasser Al-Mutairi,??????,??????? ?????? ???????,1994,e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1068,,,,????? ???? ??? ??? ????? ????? 'abhath nadwat nahw dawr tanmawi lilwaq,????? ???? ???? ?????? Sheikh Saleh Kamil dan lain-lain,??????,?????? ??????,1993,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1069,,,0-8109-1376-3,The National Geographic Society,C.D.B Bryan,New York,Harry N. Abrams,1987,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1070,,,0-13-237264-9,Sociology,John J. Macionis,,"Prentice Hall, Upper Saddle River",1997,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1071,,,,Guida Illustrata Italia,,,Touring Club Italiano,1984,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1072,,,978-967-5997-31-0,Given in Trust,Tun Ahmad Sarji,Petaling Jaya,MPH Group Publishing Sdn Bhd,,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1073,,,978-967-305-149-6,Isu-isu Syariah di Malaysia Ke Arah Meletakkan Hak kepada yang Berhak siri 1,"Zainul Rijal Abu Bakad, Nur Hidayah Muhd Hashim",Shah Alam,"Pusat Penerbitan Universiti, UiTM Shah Alam",,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1074,,,,Tafsir Al-Azhar,Prof. Dr. Hamka,,Yayasan Nurul Islam,,j 4-5-6,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1075,,,,Tafsir Al-Azhar,Prof. Dr. Hamka,,Yayasan Nurul Islam,,j 7-8-9,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1076,,,,Tafsir Al-Azhar,Prof. Dr. Hamka,,Yayasan Nurul Islam,,j 10-11-12,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1077,,,,Tafsir Al-Azhar,Prof. Dr. Hamka,,Yayasan Nurul Islam,,j 18-19-20-21,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1078,,,,Tafsir Al-Azhar,Prof. Dr. Hamka,,Yayasan Nurul Islam,,j26-27-28,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1079,,,,Tafsir Al-Azhar,Prof. Dr. Hamka,,Yayasan Nurul Islam,,j 29-30,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1080,,,983-9581-28-7,Seratus Masalah Agama,K.H.M Syafi'i Hadzami,Kuala Lumpur,Victory Agencie,1988,e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1081,,,,??????? ?????? Al-Farouq Wa Ustaratuhu,????? ???? Mahmud Syakir,?????-????-????,?????? ????????,1997,e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1082,,,,??????? ?? ??????? Ibadah dalam Islam,?. ???? ???????? Dr. Yusuf Al Qardawi,???????,????? ????,1995,e24,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1083,,,,????? ?????? Risalah Al-Azhar,?. ???? ???????? Dr. Yusuf Al Qardawi,???????,????? ????,1984,e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1084,,,,???? ??????? ?? ?????? ???????? Isu pencerahan di dunia Islam,???? ??? Muhammad Qutb,???????,??? ??????,1999,e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1085,,,,????? ??????? rukun iman,???? ??? Muhammad Qutb,???????,??? ??????,2001,e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1086,,,,???? ?? ???? ??????? ??????? durus min mihnat albusnat walharsik,???? ??? Muhammad Qutb,???????,??? ??????,1994,e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1087,,,983-9701-16-9,??????? ???????? Al-Fatawal Fathaniyah,Syeikh Ahmad Al-Fathani,Kuala Lumpur,Khazanah Fathaniyah,1996,e1 j2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1088,,,81-86240-00-4,??????? ?????? The Gracious names of Allah,,India,Target Publishing House,1994,e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1089,,,,The Bible The Qur'an and Science,Maurice Bucaille,Egypt,Publishers Dar Al Ma'arif,,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1090,,,,???? ???????? Riadhus Shalihin,Salim Bahreisy,Bandung,PT Alma'arif,,1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1091,,,,???? ???????? Riadhus Shalihin,Salim Bahreisy,Bandung,PT Alma'arif,,2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1092,,,,The Rites of Hajj and Umra and The Visit to Prophet's Mosque,,,??? ??????? ????? ????????,,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1093,,,,Mendidik Anak Beragama,H. Gazali Taib,Kuala Lumpur,Penerbitan Pustaka Melayu Baru,1984,e4,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1094,,,,Taqriqat Ahmadiah-Idrisiyyah,Haji Abdul Rashid Bin Almarhum Tuan Haji Sheikh Mohd Said Al-Linggi,,,,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1095,,,,????? ????? ???? ???? ???? muqadimah mastik hadith rasul allah,,,Bahagian Agama Jabatan Perdana Menteri,1984,e4,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1096,,,,????? ?????? tafsir alraawy,??? ??????? ?????? Ibn Abdullah Alraawy,,,,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1097,,,,Bekerja sebagai ibadah,Ali Sumanto Alkindhi,,C.V. Aneka,1997,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1098,,,,Nilai dan disiplin hidup menurut Al-Quran,,Selangor,Urusetia Selaras Dakwah (USWAH),,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1099,,,,???? ??? ????? Qari dan Qariah,??? ???? ?????? ?? ??? ???? Abdullah Al-Qari bin Haji Saleh,Kota Bharu,Pustaka Aman Press Sdn Bhd,1986,e12,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1100,,,,????2 ?????? ??? Jenis2 Sembahyang Sunat,??? ??? ??? ????? Haji Abu Bakar Ya'qub,Kuala Lumpur,Percetakan Sentosa Sdn. Bhd.,1980,e3,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1101,,,,??????? (??????? ??????? ???? ) Beribadah (Solat lah kamu seperti kamu melihat aku sembahyang),??? ?????? Ali Ashmawy,,,,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1102,,,983-62-1683-9,Kehormatan Hak-hak Manusia Menurut Islam,Haji Mohd. Marzuqi Shafie,Kuala Lumpur,Dewan Bahasa dan Pustaka Kementerian Pendidikan Malaysia,1992,e2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1103,,,983-859-044-4,Undang-undang Jenayah Islam (Jenayah Qisas),Prof. Madya Dr. Mat Saad Abd Rahman,Petaling Jaya,Al- Rahmaniah Badan Dakwah dan Kebajikan Islam Malaysia,1989,e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1104,,,,Zikir dan Wasilah,Al-Alaamah Haji Abdul Rashid,,,,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1105,,,983-9888-53-6,Manusia & Kebenaran menurut Islam,Syeikh Yusuf Al-Qardawi,Selangor,Pustaka Ilmi,1996,e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1106,,,0-9700011-0-X,The War on Islam,Enver Masud,USA,The Wisdom Fund,2000,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1107,,,,??? ????? Fikih Sunnah,Sayid Sabiq,Bandung,PT Alma'arif,1981,e4 j1-2-3-4,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1108,,,,???????? ?????? Al-Futuhat Al-makiah,??? ????? ?? ???? Muhyiddin bin Arabi,???????,??????? ???????,1992,14,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1109,,,,??????? Al-tashil,??? ??? ???? ????? ?? ?????? Abu Abdullah Mustafa bin Al-Adawi,,??? ??? ????,1996,j1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1110,,,,??????? Al-tashil,??? ??? ???? ????? ?? ?????? Abu Abdullah Mustafa bin Al-Adawi,,??? ??? ????,1996,j2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1111,,,,??????? ?? ??? ??????? al'abhaj fi sharh alminhaj,????? ?????? Syeikh Al-Subqy,?????-?????,??? ????? ???????,1995,j3,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1112,,,,?????? ??????? bakurat al'amani,????? ??????? ?? ??? ?????? ??????? Syeikh Ismail bin Abdul Qader Al-Fatani,,,,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1113,,,,????? ??????? Pelita Penuntut,???? ????? ?? ??? ???? ?? ???? ?? ???? Muhammad Assyafie bin Abdullah bin Muhammad bin Ahmad,,,,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1114,,,,????? ???? ????? ???? Perisai bagi sekalian mukallaf,??? ?????? ?? ??? ?????? ?????????? ???????? Abdul Qadir bin Abdul Muttalib Mandela Indonesia,???,??? ?????? ???????,1961,e2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1115,,,,????? ???????? ?????? ???????? abasharati al-amilina wanadharati alghafilin,??? ???? ??? ???? ??? ?? ????? ?? ???? ??????? Syeikh Ahmad bin Muhammad Zain bin Mustafa bin Muhammad Al-Fatani,,,,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1116,,,,????? ???????? tanbih alghafilin,,,Percetakan Almuarif Sdn. Bhd,,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1117,,,,??? ??????? salim almubtadaa,????? ??? ???? ??????? Syeikh Abdullah Al-fatani,thailand,????? ?????? ???? ?????? ???????,,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1118,,,9960-43-555-5,Sejarah Mekah,Dr. Muhammad Ilyas Abdul Ghani,Madina,Al-Rasheed Printers,2003,e2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1119,,,2-89429-143-4,Atlas of The World,,Canada,Tormont Publications,1992,,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1120,,,,????? ??????? tahdhib altahdhib,?????? ?????? ???? ????? ??? ????? ???? ?? ??? ?? ??? ????????? Imam Al-Hafiz Shihab Al-Din Abi Al-Fadl Ahmed bin Ali bin Hajar Al-Asqalani,???????,??? ?????? ????????,1993,j1 e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1121,,,,????? ??????? tahdhib altahdhib,?????? ?????? ???? ????? ??? ????? ???? ?? ??? ?? ??? ????????? Imam Al-Hafiz Shihab Al-Din Abi Al-Fadl Ahmed bin Ali bin Hajar Al-Asqalani,???????,??? ?????? ????????,1993,j2 e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1122,,,,????? ??????? tahdhib altahdhib,?????? ?????? ???? ????? ??? ????? ???? ?? ??? ?? ??? ????????? Imam Al-Hafiz Shihab Al-Din Abi Al-Fadl Ahmed bin Ali bin Hajar Al-Asqalani,???????,??? ?????? ????????,1993,j3 e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1123,,,,????? ??????? tahdhib altahdhib,?????? ?????? ???? ????? ??? ????? ???? ?? ??? ?? ??? ????????? Imam Al-Hafiz Shihab Al-Din Abi Al-Fadl Ahmed bin Ali bin Hajar Al-Asqalani,???????,??? ?????? ????????,1993,j4 e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1124,,,,????? ??????? tahdhib altahdhib,?????? ?????? ???? ????? ??? ????? ???? ?? ??? ?? ??? ????????? Imam Al-Hafiz Shihab Al-Din Abi Al-Fadl Ahmed bin Ali bin Hajar Al-Asqalani,???????,??? ?????? ????????,1993,j5 e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1125,,,,????? ??????? tahdhib altahdhib,?????? ?????? ???? ????? ??? ????? ???? ?? ??? ?? ??? ????????? Imam Al-Hafiz Shihab Al-Din Abi Al-Fadl Ahmed bin Ali bin Hajar Al-Asqalani,???????,??? ?????? ????????,1993,j6 e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1126,,,,????? ??????? tahdhib altahdhib,?????? ?????? ???? ????? ??? ????? ???? ?? ??? ?? ??? ????????? Imam Al-Hafiz Shihab Al-Din Abi Al-Fadl Ahmed bin Ali bin Hajar Al-Asqalani,???????,??? ?????? ????????,1993,j7 e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1127,,,,????? ??????? tahdhib altahdhib,?????? ?????? ???? ????? ??? ????? ???? ?? ??? ?? ??? ????????? Imam Al-Hafiz Shihab Al-Din Abi Al-Fadl Ahmed bin Ali bin Hajar Al-Asqalani,???????,??? ?????? ????????,1993,j8 e1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1128,,,,???? ???????? hilyat al'awlia',??? ???? ???? ?? ??????? ????????? 'abi naeim 'ahmad bin eabdallah alasfhani,???????,????????,1996,ik,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1129,,,,???? ???????? hilyat al'awlia',??? ???? ???? ?? ??????? ????????? 'abi naeim 'ahmad bin eabdallah alasfhani,???????,????????,1996,j1,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1130,,,,???? ???????? hilyat al'awlia',??? ???? ???? ?? ??????? ????????? 'abi naeim 'ahmad bin eabdallah alasfhani,???????,????????,1996,j2,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1131,,,,???? ???????? hilyat al'awlia',??? ???? ???? ?? ??????? ????????? 'abi naeim 'ahmad bin eabdallah alasfhani,???????,????????,1996,j3,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1132,,,,???? ???????? hilyat al'awlia',??? ???? ???? ?? ??????? ????????? 'abi naeim 'ahmad bin eabdallah alasfhani,???????,????????,1996,j4,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1133,,,,???? ???????? hilyat al'awlia',??? ???? ???? ?? ??????? ????????? 'abi naeim 'ahmad bin eabdallah alasfhani,???????,????????,1996,j5,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1134,,,,???? ???????? hilyat al'awlia',??? ???? ???? ?? ??????? ????????? 'abi naeim 'ahmad bin eabdallah alasfhani,???????,????????,1996,j6,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1135,,,,???? ???????? hilyat al'awlia',??? ???? ???? ?? ??????? ????????? 'abi naeim 'ahmad bin eabdallah alasfhani,???????,????????,1996,j7,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1136,,,,???? ???????? hilyat al'awlia',??? ???? ???? ?? ??????? ????????? 'abi naeim 'ahmad bin eabdallah alasfhani,???????,????????,1996,j8,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1137,,,,???? ???????? hilyat al'awlia',??? ???? ???? ?? ??????? ????????? 'abi naeim 'ahmad bin eabdallah alasfhani,???????,????????,1996,j9,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1138,,,,???? ???????? hilyat al'awlia',??? ???? ???? ?? ??????? ????????? 'abi naeim 'ahmad bin eabdallah alasfhani,???????,????????,1996,j10,,,,,,,,,,Waqaf Dato Haji Sharani Abdullah
1139,492 Nur,Nurmi Insyirah,9789674730338 (pbk.),Temanku ideal DSKP Bahasa Arab Tahun 5,Nurmi Insyirah,"Shah Alam, Selangor :","Penerbitan Bagus Sdn Bhd,",c2017,,|a 80 p. :|b ill. ;|c 26 cm.,Temanku Ideal,,"1. Arabic language 2. Problems, exercises, etc.",,Free,1,7/3/2019,,SAMPLE
1140,297 Muh,Muhammad Hafeez,9789674596859 (pbk.),Belajar jawi baharu Tahun 5,Muhammad Hafeez and Farhan Sabil,Kuala Lumpur :,"Fargoes Books Sdn Bhd,",c2018,,|a72 p. :|b ill. ;|c 26 cm.,Siri Inovasi Cemerlang,,"1. Islam 2. Problems, exercises, etc.",i. Farhan Sabil.,Free,1,7/3/2019,,SAMPLE
1141,492 Raf,Rafeah Suddin,9789835987724 (pbk.),Super skills modul aktiviti integrasi Bahasa Arab Tahun 6,Rafeah Suddin,"Petaling Jaya, Selangor :","Sasbadi Sdn Bhd,",c2017,,|a 68 p. :|b ill. ;|c 26 cm.,Super Skills,,"1. Arabic language 2. Problems, exercises, etc.",,Free,1,7/3/2019,,SAMPLE
1142,492 Mar,"Marzuki Manan,",9789670944708 (pbk.),Target 6A+ Bahasa Arab Tahun 6,Marzuki Manan :|c Ustaz,"Sungai Buloh, Selangor :","Setiamas Publication,",c2018,,|a 72 p. :|b ill. ;|c 26 cm.,Target 6A+,,"1. Arabic language 2. Problems, exercises, etc.",,Free,1,7/3/2019,,SAMPLE
1143,297 Sap,Sapiah,9789674592813 (pbk.),Belajar jawi baharu Tahun 6,"Sapiah |c Ustazah , Ahmad Faaiz",Kuala Lumpur :,"Fargoes Books Sdn Bhd,",c2018,,|a 72 p. :|b ill. ;|c 26 cm.,Siri Inspirasi Muda,,"1. Islam 2. Problems, exercises, etc.",i. Ahmad Faaiz,Free,1,7/3/2019,,SAMPLE
1144,297 Sap,Sapiah,9789674592806 (pbk.),Belajar jawi baharu Tahun 5,"Sapiah |c Ustazah , Ahmad Faaiz",Kuala Lumpur :,"Fargoes Books Sdn Bhd,",c2018,,|a 72 p. :|b ill. ;|c 26 cm.,Siri Inspirasi Muda,,"1. Islam 2. Problems, exercises, etc.",i Ahmad Faaiz,Free,1,7/3/2019,,SAMPLE
1145,297 Muh,Muhammad Hafeez,9789670944739 (pbk.),Target 6A+ Pendidikan Islam Tahun 6,Muhammad Hafeez,"Sungai Buloh, Selangor :","Setiamas Publication,",c2018,,|a 100 p. :|b ill. ;|c 26 cm.,Target 6A+,,"1. Islam 2. Problems, exercises, etc.",,Free,1,7/3/2019,,SAMPLE
1146,297 Mar,Marzuki Manan,9789670944678 (pbk.),Target 6A+ pelajaran jawi tahun 6,Marzuki Manan :|c Ustaz,"Sungai Buloh, Selangor :","Setiamas Publication,",c2018,,|a 72 p. :|b ill. ;|c 26 cm.,Target 6A+,,"1. Islam 2. Problems, exercises, etc.",,Free,1,7/3/2019,,SAMPLE
1147,297 Moh,Mohd Shafiee Omar,9789835987656 (pbk.),Super skills modul aktiviti integrasi tulisan jawi tahun 5,Mohd Shafiee Omar and Norazam Ahmad Mokree,"Petaling Jaya, Selangor :","Sasbadi Sdn Bhd,",c2018,,|a 70 p. :|b ill. ;|c 26 cm.,Super Skills,,"1. Islam 2. Problems, exercises, etc.",i. Norazam Ahmad Mokree,Free,1,7/3/2019,,SAMPLE
1148,297 Moh,Mohd Aziron Md Nor,9789674731281 (pbk.),Modul latihan temanku setia pendidikan Islam tahun 5,"Mohd Aziron Md Nor, Nazira Salleh and Nurul Hidayah Mohd Noor","Shah Alam, Selangor :","Penerbitan Bagus Sdn Bhd,",c2018,,|a 107 p. :|b ill. ;|c 26 cm.,Temanku Setia,,"1. Islam 2. Problems, exercises, etc.",i. Nazira Salleh. ii. Nurul Hidayah Mohd Noor,Free,1,7/3/2019,,SAMPLE
1149,297 Muh,Muhammad Hafeez,9789670944722 (pbk.),Target 6A+ pendidikan islam tahun 5,Muhammad Hafeez,"Sungai Buloh, Selangor :","Setiamas Publication,",c2018,,|a 100 p. :|b ill. ;|c 26 cm.,Target 6A+,,"1. Islam 2. Problems, exercises, etc.",,Free,1,7/3/2019,,SAMPLE
1150,492 Nur,Nurmi Insyirah,9789674731403 (pbk.),Modul latihan temanku setia bahasa arab tahun 5,Nurmi Insyirah and Nurul Hidayah Mohd Noor,,,,,,,,,,,,,,SAMPLE
1151,370 Bad,Badrul Kamal,9789674553883 (pbk.),Semarak cemerlang pendidikan moral tahun 6,Badrul Kamal,"Seri Kembangan, Selangor :","Cemerlang Publications Sdn Bhd,",c2017,,|a 90 p. ;|b ill. ;|c 26 cm.,Semarak Cemerlang,,"1. Moral education 2. Problems, exercises, etc.",,Free,1,7/8/2019,,SAMPLE
1152,370 Che,Che Surahaya Che Wil,9789674366193 (pbk.),Saya kuasai pendidikan moral tahun 5,Che Surahaya Che Wil,Kuala Lumpur :,"Global Mediastreet Sdn Bhd,",c2017,,|a 90 p. ;|b ill. ;|c 26 cm.,Saya Kuasai,,"1. Moral education 2. Problems, exercises, etc.",,Free,1,7/8/2019,,SAMPLE
1153,607 Mus,Muslim Hj. Tamsir,9789670944418 (pbk.),Target 6A+ reka bentuk dan teknologi tahun 6,Muslim Hj. Tamsir,"Sungai Buloh, Selangor :","Setiamas Publication,",c2017,,|a 90 p. ;|b ill. ;|c 26 cm.,Target 6A+,,"1. Industrial arts 2. Problems, exercises, etc.",,Free,1,7/8/2019,,SAMPLE
1154,004 Mus,Muslim Hj. Tamsir,9789670944432 (pbk.),Target 6A+ teknologi maklumat dan komunikasi tahun 6,Muslim Hj. Tamsir,"Sungai Buloh, Selangor :","Setiamas Publication,",c2017,,|a 62 p. :|b ill. ;|c 26 cm.,Target 6A+,,"1. Information technology 2. Problems, exercises, etc. 3. Computers",,Free,1,7/8/2019,,SAMPLE
1155,607 Moh,Mohd Rahim Mohd Sharif,9789835987892 (pbk.),Super skills modul aktiviti integrasi reka bentuk dan teknologi tahun 5,Mohd Rahim Mohd Sharif,"Petaling Jaya, Selangor :","Sasbadi Sdn Bhd,",c2017,,|a 72 p. :|b ill. ;|c 26 cm.,Super Skills,,"1. Industrial arts 2. Problems, exercises, etc.",,Free,1,7/8/2019,,SAMPLE
1156,607 Abd,Abdul Karim Daud,9789674731434 (pbk.),Modul latihan temanku setia reka bentuk dan teknologi tahun 5,Abdul Karim Daud and Nur As' syifa Nasuha,"Shah Alam, Selangor :","Penerbitan Bagus Sdn Bhd,",c2018,,|a 88 p. :|b ill. ;|c 26 cm.,Temanku Setia,,"1. Industrial arts 2. Problems, exercises, etc.",i. Nur As' syifa Nasuha,Free,1,7/8/2019,,SAMPLE
1157,959 Sur,Suria Mahmud,9789674731229 (pbk.),Temanku setia sejarah tahun 5,Suria Mahmud,"Shah Alam, Selangor :","Penerbitan Bagus Sdn Bhd,",c2018,,|a 90 p. :|b ill. ;|c 26 cm.,Temanku Setia,,"1. Industrial arts 2. Problems, exercises, etc.",,Free,1,7/8/2019,,SAMPLE
1158,959 Nor,Nor Azizul Harun,9789674596576 (pbk.),Siri inovasi cemerlang sejarah tahun 5,Nor Azizul Harun and Suhaimi Mamat,Kuala Lumpur :,"Fargoes Books Sdn Bhd,",c2018,,|a 76 p. :|b ill. ;|c 26 cm.,Siri Inovasi Cemerlang,,"1. History 2. Problems, exercises, etc.",i. Suhaimi Mamat,Free,1,7/8/2019,,SAMPLE
1159,004 Zai,Zaireen Hassan,9789674731465 (pbk.),Temanku setia teknologi maklumat dan komunikasi tahun 5,Zaireen Hassan,"Shah Alam, Selangor :","Penerbitan Bagus Sdn Bhd,",c2018,,|a 72 p. :|b ill. ;|c 26 cm.,Temanku Setia,,"1. Information technology 2. Problems, exercises, etc. 3. Computers",,Free,1,7/8/2019,,SAMPLE
1160,004 Mus,Muslim Hj. Tamsir,9789672094395 (pbk.),Top score A interaktif teknologi maklumat dan komunikasi tahun 5,Muslim Hj. Tamsir,"Sungai Buloh, Selangor :","Setiamas Publication,",c2018,,|a 49 p. :|b ill. ;|c 26 cm.,Top Score A,,"1. Information technology 2. Problems, exercises, etc. 3. Computers",,Free,1,7/8/2019,,SAMPLE
1161,297 Ahm,Ahmad Nasruddin Abdullah,9789674366230 (pbk.),Saya kuasai pendidikan islam tahun 3,Ahmad Nasruddin Abdullah,Kuala Lumpur :,"Global Mediastreet Sdn Bhd,",c2017,,|a 120 p. :|b ill. ;|c 26 cm.,Saya Kuasai,,"1. Islam 2. Problems, exercises, etc.",,Free,1,7/8/2019,,SAMPLE
1162,297 Azl,Azlan Aziz,9789674366223 (pbk.),Saya kuasai pendidikan islam tahun 2,Azlan Aziz,Kuala Lumpur :,"Global Mediastreet Sdn Bhd,",c2017,,|a 118 p. :|b ill. ;|c 26 cm.,Saya Kuasai,,"1. Islam 2. Problems, exercises, etc.",,Free,1,7/8/2019,,SAMPLE
1163,297 Ahm,Ahmed Hafiz Che Abdullah,9789674059736 (pbk.),Arif j-qaf pelajaran jawi tahun 3,Ahmed Hafiz Che Abdullah and Faiza Hassan,"Seri Kembangan, Selangor :","Mybooks.com Sdn Bhd,",c2017,,|a 88p. :|b ill. ;|c 26 cm.,Arif j-qaf,,"1. Islam 2. Problems, exercises, etc.",i. Faiza Hassan,Free,1,7/8/2019,,SAMPLE
1164,297 Ahm,Ahmed Hafiz Che Abdullah,9789674059729 (pbk.),Arif j-qaf pelajaran jawi tahun 2,Ahmed Hafiz Che Abdullah,"Seri Kembangan, Selangor :","Mybooks.com Sdn Bhd,",c2017,,|a 72 p. :|b ill. ;|c 26 cm.,Arif j-qaf,,"1. Islam 2. Problems, exercises, etc.",,Free,1,7/8/2019,,SAMPLE
1165,297 Nur,Nur Anissa Safiyya,9789674731274 (pbk.),Temanku setia pendidikan islam tahun 4,Nur Anissa Safiyya and Nurul Hidayah Mohd Noor,"Shah Alam, Selangor :","Penerbitan Bagus Sdn Bhd,",c2018,,|a 108 p. :|b ill. ;|c 26 cm.,Temanku Setia,,"1. Islam 2. Problems, exercises, etc.",i. Nurul Hidayah Mohd Noor,Free,1,7/11/2019,,SAMPLE
1166,510 Ker,Title,9789672055365 (pbk.),Kertas model jom UPSR matematik,,"Puchong, Selangor :","Penerbitan Inspirasi Sdn Bhd,",c2016,,|a 1 vol. (unpaged) :|b ill. ;|c 26 cm.,Jom UPSR,,"1. Arithmetic 2. Examinations, questions, etc.",i. Title.,Free,1,7/19/2019,,SAMPLE
